id,ts,temp
344,"2026-01-26 10:17:47",0.0
345,"2026-01-26 10:17:57",0.0
346,"2026-01-26 10:18:07",0.0
347,"2026-01-26 10:18:17",0.0
348,"2026-01-26 10:18:27",0.0
349,"2026-01-26 10:18:37",0.0
350,"2026-01-26 10:18:48",0.0
351,"2026-01-26 10:18:58",0.0
352,"2026-01-26 10:19:08",0.0
353,"2026-01-26 10:19:18",0.0
354,"2026-01-26 10:19:28",0.0
355,"2026-01-26 10:19:38",0.0
356,"2026-01-26 10:19:48",0.0
357,"2026-01-26 10:19:58",0.0
358,"2026-01-26 10:20:08",0.0
359,"2026-01-26 10:20:18",0.0
360,"2026-01-26 10:20:28",0.0
361,"2026-01-26 10:20:39",0.0
362,"2026-01-26 10:20:49",0.0
363,"2026-01-26 10:20:59",0.0
364,"2026-01-26 10:21:09",0.0
365,"2026-01-26 10:21:30",0.0
366,"2026-01-26 10:21:43",0.0
367,"2026-01-26 10:21:56",0.0
368,"2026-01-26 10:22:09",0.0
369,"2026-01-26 10:22:34",0.0
370,"2026-01-26 10:22:46",0.0
371,"2026-01-26 10:22:58",0.0
372,"2026-01-26 10:23:10",0.0
373,"2026-01-26 10:23:22",0.0
374,"2026-01-26 10:23:35",0.0
375,"2026-01-26 10:23:47",0.0
376,"2026-01-26 10:23:59",0.0
377,"2026-01-26 10:24:11",0.0
378,"2026-01-26 10:24:36",0.0
379,"2026-01-26 10:24:47",0.0
380,"2026-01-26 10:24:59",0.0
381,"2026-01-26 10:25:11",0.0
382,"2026-01-26 10:25:22",0.0
383,"2026-01-26 10:25:34",0.0
384,"2026-01-26 10:25:45",0.0
385,"2026-01-26 10:25:57",0.0
386,"2026-01-26 10:26:09",0.0
387,"2026-01-26 10:26:20",0.0
388,"2026-01-26 10:26:32",0.0
389,"2026-01-26 10:26:44",0.0
390,"2026-01-26 10:26:55",0.0
391,"2026-01-26 10:27:07",0.0
392,"2026-01-26 10:27:19",0.0
393,"2026-01-26 10:27:30",0.0
394,"2026-01-26 10:27:42",0.0
395,"2026-01-26 10:27:53",0.0
396,"2026-01-26 10:28:05",0.0
397,"2026-01-26 10:28:16",0.0
398,"2026-01-26 10:28:28",0.0
399,"2026-01-26 10:28:40",0.0
400,"2026-01-26 10:28:52",0.0
401,"2026-01-26 10:29:03",0.0
402,"2026-01-26 10:29:15",0.0
403,"2026-01-26 10:29:26",0.0
404,"2026-01-26 10:29:38",0.0
405,"2026-01-26 10:29:50",0.0
406,"2026-01-26 10:30:01",0.0
407,"2026-01-26 10:30:13",0.0
408,"2026-01-26 10:30:24",0.0
409,"2026-01-26 10:30:36",0.0
410,"2026-01-26 10:30:47",0.0
411,"2026-01-26 10:30:59",0.0
412,"2026-01-26 10:31:11",0.0
413,"2026-01-26 10:31:22",0.0
414,"2026-01-26 10:31:34",0.0
415,"2026-01-26 10:31:46",0.0
416,"2026-01-26 12:19:28",0.0
417,"2026-01-26 12:19:40",0.0
418,"2026-01-26 12:19:52",0.0
419,"2026-01-26 12:23:36",0.0
420,"2026-01-26 12:23:47",0.0
421,"2026-01-26 12:23:59",0.0
422,"2026-01-26 12:28:07",0.0
423,"2026-01-26 12:28:19",0.0
424,"2026-01-26 12:28:31",0.0
425,"2026-01-26 12:28:42",0.0
426,"2026-01-26 12:28:54",0.0
427,"2026-01-26 12:29:05",0.0
428,"2026-01-26 12:29:17",0.0
429,"2026-01-26 12:29:29",0.0
430,"2026-01-26 12:29:40",0.0
431,"2026-01-26 12:29:52",0.0
432,"2026-01-26 12:30:04",0.0
433,"2026-01-26 12:30:15",0.0
434,"2026-01-26 12:30:27",0.0
435,"2026-01-26 12:30:38",0.0
436,"2026-01-26 12:31:03",0.0
437,"2026-01-26 12:31:15",0.0
438,"2026-01-26 12:31:26",0.0
439,"2026-01-26 12:31:38",0.0
440,"2026-01-26 12:31:49",0.0
441,"2026-01-26 12:32:01",0.0
442,"2026-01-26 12:32:13",0.0
443,"2026-01-26 13:00:06",0.0
444,"2026-01-26 13:00:18",0.0
445,"2026-01-26 13:00:29",0.0
